YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES,TOTAL SALES,LOG_TOTAL_SALES,TRANSFER_RATIO
2020,1,ANHEUSER BUSCH INC,97217,ST PAULI GIRL NA 4/6 NR - 12OZ,NON-ALCOHOL,34.0,26.0,125.0,159.0,5.075173815233827,0.7714285714285715
2020,1,ANHEUSER BUSCH INC,97225,KIRIN ICHIBAN 15/22OZ NR - 22OZ,BEER,0.0,0.0,51.0,51.0,3.9512437185814275,1.0
2020,1,RELIABLE CHURCHILL LLLP,97284,S SMITH OATMEAL STOUT 6/4 NR - 12OZ,BEER,1.52,3.0,7.0,8.52,2.253394848803274,1.5873015873015872
2020,1,RELIABLE CHURCHILL LLLP,97292,S SMITH IMPERIAL STOUT 6/4 NR,BEER,0.17,1.0,0.0,0.17,0.15700374880966478,1.7094017094017095
2020,1,RELIABLE CHURCHILL LLLP,97306,ORVAL TRAPPISTE NR 12/CS - 11.2OZ,BEER,0.0,0.0,1.0,1.0,0.6931471805599453,1.0
2020,1,HEINEKEN USA,97314,DOS EQUIS AMBER 2/12 NR - 12OZ,BEER,4.5,3.0,39.0,43.5,3.7954891891721947,0.7272727272727273
2020,1,MASS BAY BREWING CO,97373,HARPOON IPA 1/2K,KEGS,0.0,0.0,12.0,12.0,2.5649493574615367,1.0
2020,1,CROWN IMPORTS,97403,CORONITA 4/6 7OZ-NR - 7OZ,BEER,94.75,98.0,216.0,310.75,5.742201584560146,1.0339425587467364
2020,1,ST KILLIAN IMPORTING CO INC,97420,BITBURGER 4/6 11.2 OZ NR,BEER,10.0,18.0,19.0,29.0,3.4011973816621555,1.7272727272727273
2020,1,DIAGEO NORTH AMERICA INC,97454,GUINNESS STOUT NR - 22OZ,BEER,19.76,23.0,342.0,361.76,5.893741458579367,1.1560693641618496
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,97470,SAPPORO 12/22OZ CAN - 22OZ,BEER,44.32,48.0,490.0,534.32,6.282864698928174,1.0812003530450132
2020,1,CROWN IMPORTS,97497,CORONA EXTRA 12/24OZ NR - 24OZ,BEER,9.0,9.0,686.0,695.0,6.54534966033442,1.0
2020,1,LEGENDS LTD,97535,SCHNEIDER AVENTINUS 20/16.9OZ NR,BEER,0.0,0.0,3.0,3.0,1.3862943611198906,1.0
2020,1,CROWN IMPORTS,97551,NEGRA MODELO 4/6 NR - 12OZ,BEER,62.71,72.0,330.0,392.71,5.975614597677916,1.1458169832051484
2020,1,ANHEUSER BUSCH INC,97578,BUD 24/12 PREPRINT LSE NR,BEER,94.0,64.0,211.0,305.0,5.723585101952381,0.6842105263157895
2020,1,ANHEUSER BUSCH INC,97586,BUD LIGHT 24/12 PREPRINT LSE NR,BEER,178.0,217.0,673.96,851.96,6.748712653074451,1.217877094972067
2020,1,HEINEKEN USA,97616,DOS EQUIS LAGER 4/6 NR - 12OZ,BEER,53.46,68.0,339.75,393.21,5.9768837622304485,1.266984943077488
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,97659,KINGFISHER 4/6 NR,BEER,5.0,5.0,27.0,32.0,3.4965075614664802,1.0
2020,1,ANHEUSER BUSCH INC,97667,BECKS 2/12 NR - 12OZ,BEER,64.0,74.0,398.0,462.0,6.137727054086234,1.1538461538461537
2020,1,RELIABLE CHURCHILL LLLP,97683,PINKUS UR PILS NR 20/CS - 17OZ,BEER,0.0,0.0,2.0,2.0,1.0986122886681098,1.0
2020,1,RELIABLE CHURCHILL LLLP,97705,S SMITH NUT BROWN ALE 4/6 12.0Z NR,BEER,0.17,0.0,3.0,3.17,1.4279160358107101,0.8547008547008548
2020,1,RELIABLE CHURCHILL LLLP,97721,S SMITH TADDY PORTER 6/4 NR - 12OZ,BEER,0.68,1.0,1.0,1.6800000000000002,0.9858167945227654,1.1904761904761905
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,97772,SAPPORO RESERVE GOLD 12/22OZ CAN - 22OZ,BEER,0.0,0.0,63.0,63.0,4.1588830833596715,1.0
2020,1,CROWN IMPORTS,97802,CORONA LT 4/6 NR - 12OZ,BEER,39.45,49.0,325.0,364.45,5.901129470926401,1.2360939431396785
2020,1,HEINEKEN USA,97837,RED STRIPE 4/6 NR - 12OZ,BEER,39.95,42.0,260.0,299.95,5.70694413799378,1.0500610500610499
2020,1,ANHEUSER BUSCH INC,97845,SPATEN PREMIUM LAGER 4/6NR - 12OZ,BEER,27.79,30.0,109.0,136.79,4.925730787005811,1.076762764848906
2020,1,ANHEUSER BUSCH INC,97861,SPATEN OKTOBERFEST 4/6 NR - 12OZ,BEER,1.07,0.0,0.0,1.07,0.7275486072772778,0.48309178743961345
2020,1,DOPS INC,97896,ST PETERS ORGANIC ENG ALE NR 12/CS - 16.9OZ,BEER,0.0,0.0,1.0,1.0,0.6931471805599453,1.0
2020,1,ANHEUSER BUSCH INC,97918,STELLA ARTOIS 2/12 NR - 11.2OZ,BEER,410.74,493.0,3087.0,3497.74,8.160158182661949,1.1997862728906592
2020,1,HEINEKEN USA,97942,TECATE 4/6 LNNR - 12OZ,BEER,5.0,5.0,73.0,78.0,4.3694478524670215,1.0
2020,1,RELIABLE CHURCHILL LLLP,97969,S SMITH WINTER WELCOME 4/6NR - 12OZ,BEER,1.69,1.0,1.0,2.69,1.3056264580524357,0.7434944237918216
2020,1,MILLER BREWING COMPANY,97977,SOL 4/6 NR - 12OZ,BEER,0.25,1.0,31.75,32.0,3.4965075614664802,1.6
2020,1,ANHEUSER BUSCH INC,98000,BECKS PREMIER LIGHT-NR - 12OZ,BEER,7.38,9.0,4.0,11.379999999999999,2.51608226725645,1.1933174224343677
2020,1,LEGENDS LTD,98043,HITACHINO NEST RD RICE 4/6NR - 11.2OZ,BEER,0.0,0.0,1.0,1.0,0.6931471805599453,1.0
2020,1,LEGENDS LTD,98078,HITACHINO NEST WHITE ALE NR 12/CS - 23.4OZ,BEER,0.0,0.0,1.0,1.0,0.6931471805599453,1.0
2020,1,ANHEUSER BUSCH INC,98116,BECKS 15/22OZ NR - 22OZ,BEER,1.48,1.0,117.0,118.48,4.783148993347909,0.8064516129032259
2020,1,ANHEUSER BUSCH INC,98124,KIRIN LT 4/6 NR - 12OZ,BEER,2.5,3.0,60.0,62.5,4.151039905898646,1.1428571428571428
2020,1,PROXIMO SPIRITS INC,98140,JOSE CUERVO LIME MARGARITA MIX - 1.75L,NON-ALCOHOL,46.57,49.0,1.0,47.57,3.8830060563576536,1.0510826150935464
2020,1,ANHEUSER BUSCH INC,98167,BECKS N/A-NR  - 12OZ,NON-ALCOHOL,68.41,60.0,176.75,245.16,5.505981731013787,0.8788359026076935
2020,1,DOPS INC,98205,CHIMAY GRAND RES BLUE CAP NR - 25.4OZ,BEER,0.17,0.0,5.0,5.17,1.8196988379172965,0.8547008547008548
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,98213,SAPPORO DRAFT NR 12/CS - 20.3OZ,BEER,0.08,0.0,34.0,34.08,3.5576311675039825,0.9259259259259258
2020,1,MILLER BREWING COMPANY,9822,AGUILA 4/6 NR - 12OZ,BEER,2.46,3.0,15.0,17.46,2.9156062290747062,1.1560693641618498
2020,1,BUCK DISTRIBUTING COMPANY INC,98221,CARIB BEER 4/6 NR - 12OZ,BEER,1.0,4.0,6.0,7.0,2.0794415416798357,2.5
2020,1,HEINEKEN USA,98256,MORETTI LAROSSA 4/6 NR - 12OZ,BEER,13.0,11.0,23.0,36.0,3.6109179126442243,0.8571428571428571
2020,1,PROXIMO SPIRITS INC,98272,JOSE CUERVO LIME MARGARITA MIX - 1L,NON-ALCOHOL,13.7,14.0,4.0,17.7,2.928523523860541,1.0204081632653061
2020,1,BUCK DISTRIBUTING COMPANY INC,98302,CARIB SHANDY GINGER 4/6 NR - 12OZ,BEER,0.25,8.0,3.0,3.25,1.4469189829363254,7.2
2020,1,MILLER BREWING COMPANY,98329,FOSTER LAGER 1/2K,KEGS,0.0,0.0,6.0,6.0,1.9459101490553132,1.0
2020,1,BUCK DISTRIBUTING COMPANY INC,98345,CARIB SHANDY SORREL 4/6 NR,BEER,1.0,8.0,12.0,13.0,2.6390573296152584,4.5
2020,1,BOSTON BEER CORPORATION,98353,DOGFISH HEAD BURTON BATON 1/6K,KEGS,0.0,0.0,7.0,7.0,2.0794415416798357,1.0
2020,1,LEGENDS LTD,98507,SCHLENKERLA URBOCK 20/16.9,BEER,0.0,0.0,2.0,2.0,1.0986122886681098,1.0
2020,1,MILLER BREWING COMPANY,98540,PILSNER URQUELL 1/2K,KEGS,0.0,0.0,10.0,10.0,2.3978952727983707,1.0
2020,1,SIERRA NEVADA BREWING CO,98558,SIERRA NEVADA HOPPY ANNIVERSARY 4/6 NR,BEER,19.25,35.0,256.0,275.25,5.621306252831962,1.7777777777777777
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,98604,PAULANER PREM LAGER 4/6NR - 12OZ,BEER,7.25,7.0,20.0,27.25,3.34109345759245,0.9696969696969697
2020,1,BBL INC,98639,DELIRIUM TREMENS 6/4 NR,BEER,0.0,0.0,8.0,8.0,2.1972245773362196,1.0
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,98655,PAULANER HEFEWEIZEN 4/6NR - 12OZ,BEER,6.75,8.0,29.0,35.75,3.6041382256588457,1.1612903225806452
2020,1,WARSTEINER IMPORTERS,98663,WARSTEINER 4/6 NR - 12OZ,BEER,23.5,26.0,58.0,81.5,4.412798293340635,1.1020408163265305
2020,1,ANHEUSER BUSCH INC,98671,SHOCK TOP BELGIUM WHITE 1/2 KG,KEGS,0.0,0.0,22.0,22.0,3.1354942159291497,1.0
2020,1,ANHEUSER BUSCH INC,98680,SHOCK TOP BELGIUM WHITE 1/6 KG,KEGS,0.0,0.0,21.0,21.0,3.091042453358316,1.0
2020,1,WARSTEINER IMPORTERS,98701,WARSTEINER 2/12 NR - 12OZ,BEER,1.0,2.0,36.0,37.0,3.6375861597263857,1.5
2020,1,DOPS INC,98728,WEIHENSTPHANER HEFE-WEISS 4/6NR - 12OZ,BEER,0.0,0.0,12.0,12.0,2.5649493574615367,1.0
2020,1,ANHEUSER BUSCH INC,98744,STELLA ARTOIS 4/6 NR - 11.2OZ,BEER,148.25,209.0,1472.92,1621.17,7.39152003806122,1.407035175879397
2020,1,WARSTEINER IMPORTERS,98752,WARSTEINER DUNKEL 4/6 NR - 12OZ,BEER,9.75,13.0,28.0,37.75,3.657130755799356,1.302325581395349
2020,1,RELIABLE CHURCHILL LLLP,98833,LINDEMANS FRAMBOISE NR - 25.4OZ,BEER,0.48,1.0,3.0,3.48,1.4996230464268938,1.3513513513513513
2020,1,RELIABLE CHURCHILL LLLP,98841,LINDEMANS PECHE LAMBIC NR - 25.4OZ,BEER,0.0,0.0,2.0,2.0,1.0986122886681098,1.0
2020,1,DOPS INC,98850,WEIHENSTEPHANER ORIGINAL 4/6NR - 12OZ,BEER,0.0,0.0,4.0,4.0,1.6094379124341003,1.0
2020,1,GLOBAL OCEAN AND AIR CARGO SERVICES,98884,HARAR BEER 4/6NR - 11.2OZ,BEER,1.0,1.0,2.0,3.0,1.3862943611198906,1.0
2020,1,LEGENDS LTD,98892,SCHLENKERLA MARZEN 20/16,BEER,0.0,0.0,3.0,3.0,1.3862943611198906,1.0
2020,1,HEINEKEN USA,98906,DOS EQUIS LAGER 1/2K,KEGS,0.0,0.0,22.0,22.0,3.1354942159291497,1.0
2020,1,RELIABLE CHURCHILL LLLP,98914,LINDEMANS KRIEK NR - 25.4OZ,BEER,0.0,0.0,1.0,1.0,0.6931471805599453,1.0
2020,1,LEGENDS LTD,98949,SCHNEIDER WEISEN EDEL WEISS NR 20/CS - 16.9OZ,BEER,0.0,0.0,1.0,1.0,0.6931471805599453,1.0
2020,1,BOSTON BEER CORPORATION,99023,DOGFISH HEAD PUNKIN ALE 4/6 NR - 12OZ,BEER,0.25,0.0,0.0,0.25,0.22314355131420976,0.8
2020,1,LEGENDS LTD,99090,BITBURGER 1/2K,KEGS,0.0,0.0,2.0,2.0,1.0986122886681098,1.0
2020,1,BOSTON BEER CORPORATION,99155,DOGFISH HEAD MIDAS TOUCH 6/4 NR - 12OZ,BEER,10.14,11.0,34.83,44.97,3.8279890098181366,1.0771992818671454
2020,1,HEINEKEN USA,99171,TECATE 12/24OZ - CAN - 24OZ,BEER,0.0,0.0,50.0,50.0,3.9318256327243257,1.0
2020,1,CROWN IMPORTS,99198,MODELO ESPECIAL 2/12 NR - 12OZ,BEER,121.08,148.0,3113.5,3234.58,8.08196347989092,1.2205111402359108
2020,1,CROWN IMPORTS,99201,NEGRA MODELO 2/12 NR - 12OZ,BEER,29.54,36.0,270.5,300.04,5.707243146285182,1.211525867714473
2020,1,DIAGEO NORTH AMERICA INC,99228,KALIBER BREW NA 4/6 NR - 12OZ,NON-ALCOHOL,9.25,8.0,38.0,47.25,3.876395827784995,0.8780487804878049
2020,1,DOPS INC,99260,CHIMAY PREMIERE RED CAP 6/4NR - 11.2OZ,BEER,0.17,0.0,2.0,2.17,1.1537315878891892,0.8547008547008548
2020,1,YUENGLING BREWERY,99350,YUENGLING LAGER 1/4K,KEGS,0.0,0.0,40.0,40.0,3.713572066704308,1.0
2020,1,INTERBALT PRODUCTS CORP,99368,BALTIKA #8 NR 20/CS - 16.9OZ,BEER,0.0,0.0,1.0,1.0,0.6931471805599453,1.0
2020,1,HAMCO DC,9938,THERMAL REGISTER PAPER,STR_SUPPLIES,0.0,27.0,0.0,0.0,0.0,28.0
